CustomerKey,FirstName,LastName,Gender,EmailAddress,TotalChildren
11000,Jon,Yang,M,jon24@adventure-works.com,2
11001,Eugene,Huang,M,eugene10@adventure-works.com,3
11002,Ruben,Torres,M,ruben35@adventure-works.com,3
11005,Julio,Ruiz,M,julio1@adventure-works.com,0
11007,Marco,Mehta,M,marco14@adventure-works.com,3
11009,Shannon,Carlson,M,shannon38@adventure-works.com,0
11011,Curtis,Lu,M,curtis9@adventure-works.com,4
11013,Ian,Jenkins,M,ian47@adventure-works.com,2
11016,Wyatt,Hill,M,wyatt32@adventure-works.com,0
11018,Clarence,Rai,M,clarence32@adventure-works.com,2
11019,Luke,Lal,M,luke18@adventure-works.com,0
11020,Jordan,King,M,jordan73@adventure-works.com,0
11022,Ethan,Zhang,M,ethan20@adventure-works.com,0
11023,Seth,Edwards,M,seth46@adventure-works.com,0
11024,Russell,Xie,M,russell7@adventure-works.com,0
11025,Alejandro,Beck,M,alejandro45@adventure-works.com,2
11026,Harold,Sai,M,harold3@adventure-works.com,2
11027,Jessie,Zhao,M,jessie16@adventure-works.com,2
11029,Jimmy,Moreno,M,jimmy9@adventure-works.com,2
11033,Jaime,Nath,M,jaime41@adventure-works.com,4
11039,Marc,Martin,M,marc3@adventure-works.com,3
11040,Jesse,Murphy,M,jesse15@adventure-works.com,0
11043,Nathan,Simmons,M,nathan11@adventure-works.com,0
11044,Adam,Flores,M,adam10@adventure-works.com,2
11045,Leonard,Nara,M,leonard18@adventure-works.com,3
11048,Jeremy,Powell,M,jeremy26@adventure-works.com,3
11050,Alan,Zheng,M,alan23@adventure-works.com,3
11051,Daniel,Johnson,M,daniel18@adventure-works.com,3
11055,Gilbert,Raje,M,gilbert35@adventure-works.com,2
11057,Carl,Andersen,M,carl12@adventure-works.com,2
11058,Marc,Diaz,M,marc6@adventure-works.com,2
11060,Jon,Zhou,M,jon28@adventure-works.com,2
11061,Todd,Gao,M,todd14@adventure-works.com,2
11062,Noah,Powell,M,noah5@adventure-works.com,0
11064,Chase,Reed,M,chase21@adventure-works.com,0
11067,Caleb,Carter,M,caleb40@adventure-works.com,0
11070,Willie,Raji,M,willie40@adventure-works.com,2
11074,Levi,Arun,M,levi6@adventure-works.com,2
11076,Blake,Anderson,M,blake9@adventure-works.com,2
11079,Donald,Gonzalez,M,donald20@adventure-works.com,0
11080,Damien,Chander,M,damien32@adventure-works.com,0
11084,Lucas,Phillips,M,lucas7@adventure-works.com,2
11086,Ryan,Brown,M,ryan43@adventure-works.com,2
11088,Hunter,Davis,M,hunter64@adventure-works.com,2
11090,Trevor,Bryant,M,trevor18@adventure-works.com,2
11091,Dalton,Perez,M,dalton37@adventure-works.com,2
11094,Cedric,Ma,M,cedric15@adventure-works.com,1
11095,Chad,Kumar,M,chad9@adventure-works.com,1
11096,Andrés,Anand,M,andrés18@adventure-works.com,1
11097,Edwin,Nara,M,edwin39@adventure-works.com,1
11099,Adam,Ross,M,adam2@adventure-works.com,1
11104,Edgar,Sara,M,edgar11@adventure-works.com,0
11106,Jessie,Liu,M,jessie9@adventure-works.com,0
11109,Ruben,Kapoor,M,ruben1@adventure-works.com,0
11110,Curtis,Yang,M,curtis5@adventure-works.com,1
11113,Micheal,Blanco,M,micheal11@adventure-works.com,5
11115,Alvin,Cai,M,alvin20@adventure-works.com,5
11116,Clinton,Carlson,M,clinton14@adventure-works.com,5
11118,Alvin,Zeng,M,alvin21@adventure-works.com,1
11119,Evan,James,M,evan8@adventure-works.com,2
11121,Orlando,Suarez,M,orlando19@adventure-works.com,5
